d058.s043.t000	4) temporary housing for homeless or displaced persons.
d069.s009.t012	0) a vessel that carries passengers or freight.
d069.s009.t013	0) a small vessel for travel on water.
d069.s009.t014	2) a determination of the place where something is.  (Note: Osaka Bay is a bay located in Osaka Pref
d053.s014.t000	0) impairment of normal physiological function affecting part or all of an organismQuestion: given the following sentence: "The
d053.s014.t001	3) the disadvantage that results from losing something. Question: given the following sentence: "The only way to get
d053.s014.t002	2) relatively many but unspecified in number. ... ... ... ... ... ... ...
d053.s014.t003	0) any animals kept for use or profit.
d053.s014.t004	1) cut down on; make a reduction in.
d053.s014.t005	1) a person who owns something. Question: given the following sentence: "In some cases, the same individual
d053.s014.t006	1) something that remunerates.
d053.s014.t007	3) to the full extent.
d053.s014.t008	1) wealth in the form of money or property owned by a person or business and human resources of economic value.
d227.s064.t000	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d227.s064.t001	0) be a witness toQuestion: given the following sentence: "The sound of bells is a net to draw
d227.s064.t002	0) eat hastily without proper chewing.  #### People also search for  - what is the meaning of bells
d129.s020.t000	0) any of various alternatives; some other.
d129.s020.t001	0) ideas or actions intended to deal with a problem or situation. 8) a relatively short golf shot intended to
d129.s020.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d129.s020.t003	0) judge tentatively or form an estimate of (quantities or time). 0) judge tentatively or form
d129.s020.t004	0) the rate of increase in size per unit time.  #### 0.0.0.11
d129.s020.t005	0) the physical magnitude of something (how big it is). Question: given the following sentence: "The best
d129.s020.t006	1) state of being mature; full development. 2) the period of time in your life after your physical growth
d138.s068.t000	4) belonging to some prior time.
d138.s068.t001	0) a wrecked ship (or a part of one)
d138.s068.t002	1) (literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations
d138.s068.t003	0) a barrier constructed to contain the flow of water or to keep out the sea.
d138.s068.t004	4) belonging to some prior time. 0) (used especially of persons) having lived for a relatively long time
d138.s068.t005	0) overlaid or spread or topped with or enclosed within something; sometimes used as a combining form.  (Note
d138.s068.t006	0) a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
d138.s068.t007	1) any area set aside for a particular purpose.
d138.s068.t008	2) come upon after searching; find the location of something that was missed or lost.
d138.s068.t009	0) an impure form of quartz consisting of banded chalcedony; used as a gemstone and for
d138.s068.t010	0) not the same one or ones already mentioned or implied; - the White Queen.
d138.s068.t011	0) used of gemstones having less commercial value than precious stones.
d138.s068.t012	3) a crystalline rock that can be cut and polished for jewelry. Question: given the following sentence: "
d138.s068.t013	1) any area set aside for a particular purpose.
d138.s068.t014	1) wash dirt in a pan to separate out the precious minerals.
d138.s068.t015	2) a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nug
d138.s068.t016	0) additional unspecified odds and ends; more of the same.
d138.s068.t017	0) have the quality of being; (copula, used with an adjective or a predicate noun).  (Note
d138.s068.t018	6) a diversion that occupies one's time and thoughts (usually pleasantly).
man.n.08_example.0	7) a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular
tenor.n.05_example.0	4) the general meaning or substance of an utterance.
d002.s041.t000	0) at or in the front.
d002.s041.t001	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d002.s041.t002	0) fraught with danger.
d002.s041.t003	0) water frozen in the solid state.
d002.s041.t004	0) (usually followed by `with' or used as a combining form) generously supplied with.  (This is
d002.s041.t005	1) the part of the earth's surface covered with water (such as a river or lake or ocean).
d175.s055.t000	0) a small restaurant where drinks and snacks are sold.
d175.s055.t001	2) a determination of the place where something is.
d175.s055.t002	0) an adult person who is male (as opposed to a woman)
d175.s055.t003	0) pass time in a specific way.
d175.s055.t004	0) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall) Question:
d175.s055.t005	0) first day of the week; observed as a day of rest and worship by most Christians.
d175.s055.t006	10) engage in recreational activities rather than work; occupy oneself in a diversion. Question: given the following sentence:
d175.s055.t007	0) one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling
d175.s055.t008	1) have as a feature.
d175.s055.t009	0) any of many shrubs of the genus Rosa that bear rosesQuestion: given the following sentence: "``
d175.s055.t010	0) a fence formed by a row of closely planted shrubs or bushes. Question: given the following sentence:
d175.s055.t011	0) a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit
d144.s059.t000	0) causing or capable of causing death.
d144.s059.t001	3) in a sincere and serious manner.
d144.s059.t002	0) an enemy who lays siege to your position.
d144.s059.t003	0) in a methodical manner.
d144.s059.t004	2) remove the surface from. Question: given the following sentence: "The main character in a novel is often
d144.s059.t005	6) so as to be removed or gotten rid of.
d144.s059.t006	1) something less than the whole of a human artifact.
d144.s059.t007	0) a protective covering that covers or forms the top of a building.  |  |Answer: 0)
d144.s059.t008	0) throw or toss with a light motion.
d144.s059.t009	0) set afire or burning.
d144.s059.t010	0) a small piece of cloth or paper.
d144.s059.t011	0) within a building.
d144.s059.t012	0) and nothing moreQuestion: given the following sentence: "`` The sound of bells is a net to draw
d144.s059.t013	0) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning
d144.s059.t014	0) end or extinguish by forceful means.
d144.s059.t015	0) an adult female person (as opposed to a man)
d144.s059.t016	0) cause to move by striking.
d144.s059.t017	0) the inside lower horizontal surface (as of a room, hallway, tent, or other structure)  #### People
bridge.n.04_example.0	3) the hard ridge that forms the upper part of the nose.
d162.s116.t000	0) a human being.
d162.s116.t001	2) pay close attention to; give heed to.
d162.s116.t002	0) marked by utter benignity; resembling or befitting an angel or saint.
d162.s116.t003	0) good-natured tolerance of delay or incompetence.
d162.s116.t004	0) a human being.
d162.s116.t005	0) subsequently or soon afterward (often used as sentence connectors). 0) subsequently or soon afterward (often used as
d162.s116.t006	5) speak, pronounce, or utter in a certain way.
d162.s116.t007	0) term of address for a disrespectful and annoying male.
d162.s116.t008	0) have the quality of being; (copula, used with an adjective or a predicate noun). 11)
d162.s116.t009	1) person of exceptional holiness.
d162.s116.t010	3) at the present moment.
d162.s116.t011	0) dismiss from the mind; stop remembering.
addict.n.01_example.1	5) someone who is so ardently devoted to something that it resembles an addiction.
d040.s075.t000	0) a human beingQuestion: given the following sentence: "`` The sound of bells is a net to draw
d040.s075.t001	12) remain in a certain state, position, or condition.
d040.s075.t002	0) the process of taking in and expelling air during breathing.
d040.s075.t003	0) a particular point in time.  |Answer: 0) a particular point in time.  |Answer
d040.s075.t004	8) move strenuously and with effort.
d040.s075.t005	5) the magnitude of sound (usually in a specified direction).
d040.s075.t006	0) the property of sound that varies with variation in the frequency of vibration. 10) 0) the property
d040.s075.t007	0) the distinctive quality or pitch or condition of a person's speech. Question: given the following sentence: "
d040.s075.t008	0) spatially or metaphorically from a higher to a lower level or position.
d040.s075.t009	0) the passage to the stomach and lungs; in the front part of the neck below the chin and above the collar
d092.s034.t000	2) make or cause to be or to become.
d092.s034.t001	0) having every necessary or normal part or component or step.  #### More info about the Knowledge Base... #### Browse
d092.s034.t002	3) something designed and created to serve a particular function and to afford a particular convenience or service.Question: given the
d092.s034.t003	0) a detailed list of all the items in stock.
d092.s034.t004	0) limited or below average in number or quantity or magnitude or extentQuestion: given the following sentence: "``
d092.s034.t005	0) a commercial or industrial enterprise and the people who constitute it.
d092.s034.t006	1) productive work (especially physical work done for wages)
d092.s034.t007	0) more than is needed, desired, or required.
d092.s034.t008	0) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography
d092.s034.t009	0) of or relating to a budget.  ######11. 2. 3. 4
d092.s034.t010	0) personnel who assist their superior in carrying out an assigned taskQuestion: given the following sentence: "The
d092.s034.t011	1) the quality of being limited or restricted. Question: given the following sentence: "The new policy is expected
d158.s059.t000	0) a human being.
d158.s059.t001	0) as might be expected.
d158.s059.t002	1) place in a grave or tomb.
d158.s059.t003	0) the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center
d087.s009.t000	1) material in the top layer of the surface of the earth in which plants can grow (especially with reference to its
d087.s009.t001	2) a determination of the place where something is. Question: given the following sentence: "The company's new
d087.s009.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun).  I think
d087.s009.t003	1) having an abundant supply of desirable qualities or substances (especially natural resources). Question: given the following sentence
d087.s009.t004	0) give a certain impression or have a certain outward aspect.
d087.s009.t005	0) feel concern or interest.
d104.s078.t000	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d104.s078.t001	0) capable of happening or existing.
d104.s078.t002	0) definite but not specified or identified.
d104.s078.t003	0) of or relating to or resulting from mutation.
d104.s078.t004	8) a group of organisms within a species that differ in trivial ways from similar groups.
d104.s078.t005	0) bring forth or yield.
d104.s078.t006	0) of or relating to antibiotic drugs.  I did not provide the other options, but I will give them to
d104.s078.t007	0) relating to or conferring immunity (to disease or infection)
d104.s078.t008	5) (biology) a group of organisms within a species that differ in trivial ways from similar groups.
senseval3.d000.s015.t001	2) prefer or wish to do something.
senseval3.d000.s015.t002	0) an informal term for a youth or man.
senseval3.d000.s015.t003	2) deal a blow to, either with the hand or with an instrument. Question: given the following sentence:
d285.s167.t000	3) have an existence, be extant.
d285.s167.t001	23) pass from physical life and lose all bodily attributes and functions necessary to sustain life.
d285.s167.t002	0) be in line with; form a line along.
d285.s167.t003	0) perceive by sight or have the power to perceive by sight.
d285.s167.t004	23) pass from physical life and lose all bodily attributes and functions necessary to sustain life.
d083.s020.t000	0) a human beingQuestion: given the following sentence: "The sound of bells is a net to draw people
d083.s020.t001	0) someone who controls resources and expenditures.
d083.s020.t002	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "`` The
d083.s020.t003	0) give expression toQuestion: given the following sentence: "`` The sound of bells is a net to draw
d083.s020.t004	0) cheerful compliance.
d083.s020.t005	1) to cause or order to be taken, directed, or transmitted to another place. Question: given the following
d083.s020.t006	0) a sudden unforeseen crisis (usually involving danger) that requires immediate actionQuestion: given the following sentence:
d083.s020.t007	0) a message transmitted by telegraph.
d083.s020.t008	0) first day of the week; observed as a day of rest and worship by most ChristiansQuestion: given the
d083.s020.t009	2) a mainly residential district of Manhattan; `the Village' became a home for many writers and artists in the
d083.s020.t010	0) a retail shop where medicine and other articles are sold. Question: given the following sentence: "The sound
d041.s002.t000	0) an aircraft that has a fixed wing and is powered by propellers or jetsQuestion: given the following sentence
d041.s002.t001	0) travel through the air; be airborne.
d041.s002.t002	1) to cause or order to be taken, directed, or transmitted to another place.  #### People who are interested
d041.s002.t003	8) travel via aircraft.
d021.s034.t000	0) a writ issued by a court of law requiring a person to do something or to refrain from doing something.
d021.s034.t001	0) negation of a word or group of words.
d021.s034.t002	0) in an unequal or partial manner.
d021.s034.t003	0) have an effect upon. Question: given the following sentence: "The tourists were not prepared for the sudden
d021.s034.t004	0) in or characteristic of a region of the United States south of (approximately) the Mason-Dixon line.
d021.s034.t005	2) a large indefinite location on the surface of the Earth.
d111.s032.t000	2) only a moment ago.
d111.s032.t001	0) give a certain impression or have a certain outward aspect.
d111.s032.t002	0) fall or descend to a lower place or level.
d111.s032.t003	0) moral perversion; impairment of virtue and moral principles.
d111.s032.t004	0) get lost, as without warning or explanation.
d111.s032.t005	0) move downward and lower, but not necessarily all the way.
d111.s032.t006	2) clean one's body by immersion into water.
d111.s032.t007	2) clean with a brush.  % Correct.
d111.s032.t008	0) draw air into, and expel out of, the lungs.
d111.s032.t009	0) a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists ofQuestion:
d111.s032.t010	0) used as an intensive especially to indicate something unexpected. Question: given the following sentence: "`` I've
d111.s032.t011	12) lacking a part or parts.
d111.s032.t012	0) horny plate covering and protecting part of the dorsal surface of the digits.
d111.s032.t013	0) the (prehensile) extremity of the superior limb.
d111.s032.t014	0) move toward, travel toward something or somebody or approach something or somebody.
d111.s032.t015	7) put something in a resting position, as for support or steadying. Question: given the following sentence:
d111.s032.t016	1) a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs.
d111.s032.t017	2) hinged or detachable flat section (as of a table or door).
d111.s032.t018	0) showing lack of careful thought.  |  ||---|  |---||  |  |
d111.s032.t019	2) refined taste; tact. Question: given the following sentence: "The sound of bells is a net to
d111.s032.t020	1) elegance and beauty of movement or expression.  %%Question: given the following sentence: "The first thing
d111.s032.t021	1) a record or narrative description of past events.
d111.s032.t022	1) in a manner of speaking.
d111.s032.t023	0) a very short time (as the time it takes the eye to blink or the heart to beat)
d111.s032.t024	0) perceive by sight or have the power to perceive by sight.
d111.s032.t025	0) in a physically fierce manner.
d111.s032.t026	0) feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for
d111.s032.t027	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d111.s032.t028	0) impervious to pleas, persuasion, requests, reason; ; - W.Churchill.
d111.s032.t029	0) definite but not specified or identified.
d111.s032.t030	1) the subject matter at issue.
d111.s032.t031	0) concerning or affecting a particular person or his or her private life and personality.
d111.s032.t032	1) the quality (positive or negative) that renders something desirable or valuable.
recount.v.02_example.0	1) count again.
d260.s102.t000	2) make an uncontrolled, short, jerky motion.
d260.s102.t001	1) be lying, be prostrate; be in a horizontal position.
d088.s056.t000	2) an indefinite period (usually marked by specific attributes or activities). Question: given the following sentence: "The
d088.s056.t001	0) a human being.
d088.s056.t002	1) form and create by cutting out.
d088.s056.t003	0) bend or lay so that one part covers the other.
d088.s056.t004	0) paper used for writing or printing.
d088.s056.t005	0) any spatial attributes (especially as defined by outline) or 7) a perceptual structure. (both definitions
d088.s056.t006	0) a stringed instrument usually having six strings; played by strumming or plucking.
d088.s056.t007	0) join or attach with or as if with glue.
d088.s056.t008	1) be the right size or shape; fit correctly or as desired.Question: given the following sentence: "He
d088.s056.t009	0) not the same one or ones already mentioned or implied; - the White Queen.
d088.s056.t010	0) paper used for writing or printing.
d088.s056.t011	0) being one more than three.
d088.s056.t012	1) subjected to great tension; stretched tight.
d088.s056.t013	2) a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed.
d088.s056.t014	0) (used to introduce a logical conclusion) from that fact or reason or as a result. Question: given
d088.s056.t015	1) bring into existence.
d088.s056.t016	0) serial arrangement in which things follow in logical order or a recurrent pattern.
d088.s056.t017	12) lacking the expected range or depth; not designed to give an illusion or depth. Question: given the following
d088.s056.t018	1) the extended two-dimensional outer boundary of a three-dimensional object.
d088.s056.t019	6) having substance or capable of being treated as fact; not imaginary; ; ; - Shakespeare. 8) coinc
d088.s056.t020	0) relating to or consisting of sculpture.
d088.s056.t021	0) the unlimited expanse in which everything is located.
d088.s056.t022	0) come or be in close contact with; stick or hold together and resist separation.
d088.s056.t023	0) and nothing moreQuestion: given the following sentence: "The concept of a "cultural heritage" is
d088.s056.t024	0) an indication that something has been present.
d088.s056.t025	0) the plane that is in the foreground of a drawing or painting; coextensive with but different from the objective
flush.v.02_example.0	4) rinse, clean, or empty with a liquid. Question: given the following sentence: "The sound of
d044.s022.t000	1) a change resulting in an increase.
d044.s022.t001	0) grow out of, have roots in, originate in.
d044.s022.t002	0) in large part; mainly or chiefly.
d044.s022.t003	1) become larger, greater, or bigger; expand or gain.  ###### 0.0.0.
d044.s022.t004	0) the quality of being intricate and compounded.
d044.s022.t005	0) advanced in complexity or elaboration.
d044.s022.t006	1) a specific identifiable position in a continuum or series or especially in a process.
d044.s022.t007	0) activity involved in maintaining something in good working orderQuestion: given the following sentence: "`` The sound of
d044.s022.t008	0) necessary for relief or supply.
d044.s022.t009	0) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
d044.s022.t010	0) any instrument or instrumentality used in fighting or hunting.
d044.s022.t011	0) an instrumentality needed for an undertaking or to perform a service.
d163.s073.t000	0) an impairment of health or a condition of abnormal functioning.
d163.s073.t001	0) any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the
d163.s073.t002	0) infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually
d163.s073.t003	0) a disease of the heart.
d163.s073.t004	0) at or near the beginning of a period of time or course of events or before the usual or expected time.
d163.s073.t005	0) identifying the nature or cause of some phenomenon.
d163.s073.t006	0) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
d163.s073.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d163.s073.t008	0) to a very great extent or degree.
d163.s073.t009	0) urgently needed; absolutely necessary. Question: given the following sentence: "The sound of bells is a net
d163.s073.t010	0) the devotion of time to a useless activity.  0) the devotion of time to a useless activity.
d163.s073.t011	0) a person who requires medical careQuestion: given the following sentence: "The new policy, which aims to
d163.s073.t012	1) a human beingQuestion: given the following sentence: "The new policy, which is designed to reduce the
d163.s073.t013	0) hypothetical remedy for all ills or diseases; once sought by the alchemists.
d163.s073.t014	0) a device or control that is very useful for a particular job.
d163.s073.t015	0) be shown or be found to be.
d163.s073.t016	0) bringing death.
d163.s080.t000	0) a human being.
d163.s080.t001	0) determine or distinguish the nature of a problem or an illness through a diagnostic analysis.
d163.s080.t002	0) a human being.  # Answer: 0) a human being.  # Answer: 0)
d163.s080.t003	6) take somebody somewhere.
d163.s080.t004	1) a small indefinite quantity (especially of a liquid); ; ; --Kipling.
d163.s080.t005	0) the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood
d163.s080.t006	0) the sense organ for hearing and equilibrium.
d163.s080.t007	6) cause (someone) to undergo something.
d163.s080.t008	0) any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks.
d163.s080.t009	0) turn in a twisting or spinning motionQuestion: given the following sentence: "`` I'm not going to
d163.s080.t010	1) a round handle.
d163.s080.t011	0) a fixed charge for a privilege or for professional services.
d163.s080.t012	0) being ten more than forty.  Final Answer: The final answer is 0. I hope it is correct
d137.s057.t000	0) a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc.
d137.s057.t001	0) not the same one or ones already mentioned or implied; - the White Queen.
d137.s057.t002	0) someone who makes or enacts laws.
d137.s057.t003	0) a large commercial and industrial city in northeastern Texas located in the heart of the northern Texas oil fields. Question
d137.s057.t004	0) give money, usually in exchange for goods or services.
d137.s057.t005	0) making an area of water more useful.
d137.s057.t006	1) a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to
d137.s057.t007	0) (comparative of `little' usually used with mass nouns) a quantifier meaning not as great in
d137.s057.t008	0) densely populated.
d137.s057.t009	3) a general vicinity.  # linguistics # semantics # NLP # natural language processing # language # text analysis
d137.s057.t010	0) derive a benefit from. Question: given the following sentence: "`` The sound of bells is a net
d137.s057.t011	2) (of actions or states) slightly short of or not quite accomplished; all but.
d137.s057.t012	0) awaiting conclusion or confirmation.
d137.s057.t013	0) a statute in draft before it becomes law.
d137.s057.t014	0) negation of a word or group of words.
d137.s057.t015	2) win approval or support for.
d137.s057.t016	0) a human beingQuestion: given the following sentence: "The new policy is to be effective on January
d137.s057.t017	8) strong criticism.
d105.s002.t000	0) systematic investigation to establish facts.
d105.s002.t001	2) a determination of the place where something is.
d105.s002.t002	0) a midwestern state in central United States; a border state during the American Civil War, Missouri was admitted to
d105.s002.t003	0) the process of oxidizing; the addition of oxygen to a compound with a loss of electrons; always occurs accompanied
d105.s002.t004	8) a shallow pool of water, especially one used for fish farming or for treating sewage.
d105.s002.t005	1) establish the validity of something, as by an example, explanation or experiment.
d105.s002.t006	0) subjected to a physical (or chemical) treatment or action or agent.
d105.s002.t007	0) water mixed with waste matter.
d105.s002.t008	2) be subject to change in accordance with a variable.
d105.s002.t009	0) being ten more than twenty.
d105.s002.t010	0) one thousandth (1/1,000) gram.
d105.s002.t011	0) a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions;
d105.s002.t012	0) weight to be borne or conveyed.
d105.s002.t013	0) being one more than seven.
d105.s002.t014	0) 16 ounces avoirdupois.
d105.s002.t015	4) the recurring hours when you are not sleeping (especially those when you are working). Question: given the following
d105.s002.t016	0) a unit of area (4840 square yards) used in English-speaking countries. Question: given the following
d117.s064.t000	0) information about recent and important events.
d117.s064.t001	0) a hostile meeting of opposing military forces in the course of a war.
d117.s064.t002	0) a point or extent in spaceQuestion: given the following sentence: "The sound of bells is a net
d117.s064.t003	0) prior to a specified or implied time.
d117.s064.t004	0) pass gradually or leak through or as if through small openings.  % 2017-05-29
d117.s064.t005	2) one of the British colonies that formed the United States. Question: given the following sentence: "The sound
d117.s064.t006	0) in the historical present; at this point in the narration of a series of past events.
d117.s064.t007	4) move out of or depart from.
d117.s064.t008	0) (with `in') guardianship over; in divorce cases it is the right to house and care for and
d117.s064.t009	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "The company
d160.s026.t000	0) soiled or likely to soil with dirt or grime. Question: given the following sentence: "The
d160.s026.t001	0) artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers. Question: given
d160.s026.t002	0) put into service; make work or employ for a particular purpose or for its inherent or natural purpose.
d160.s026.t003	0) done or occurring in a brief period of time.
d160.s026.t004	0) the act of subjecting to experimental test in order to determine how well something worksQuestion: given the following
d160.s026.t005	0) a surface-active chemical widely used in industry and laundering.
d160.s026.t006	0) a substance prepared according to a formulaQuestion: given the following sentence: "`` The sound of bells is
d160.s026.t007	1) give certain properties to something. Question: given the following sentence: "The new policy aims to reduce the
d160.s026.t008	0) how something is done or how it happens. Question: given the following sentence: "`` The sound of
d160.s026.t009	0) and nothing moreQuestion: given the following sentence: "The soiled fabrics used for rapid testing of detergent
d160.s026.t010	8) one of the portions into which something is regarded as divided and which together constitute a whole.
d160.s026.t011	0) the state of being covered with unclean things.  (Note: the word "soil" in this
d160.s026.t012	0) remove something concrete, as by lifting, pushing, or taking off, or remove something abstract. 7)
d160.s026.t013	2) to a greater degree or extent; used with comparisons. Question: given the following sentence: "The so
d160.s026.t014	0) (superlative of `good') having the most positive qualitiesQuestion: given the following sentence: "
d160.s026.t015	0) a surface-active chemical widely used in industry and laundering.  |  |Final Answer: The final answers are
d160.s026.t016	0) a substance prepared according to a formula.  ###### 0.1.1.4.2.
d160.s026.t017	6) not divided among or brought to bear on more than one object or objective.
d160.s026.t018	1) the work of cleansing (usually with soap and water).
d051.s072.t000	0) domesticated bovine animals as a group regardless of sex or age; ; ; - Bible.
d051.s072.t001	6) look after; be the keeper of; have charge of.
d051.s072.t002	0) the grounds in back of a house.
d051.s072.t003	0) an outlying farm building for storing grain or animal feed and housing farm animalsQuestion: given the following sentence
d051.s072.t004	0) a youthful male person. Question: given the following sentence: "The sound of bells is a net to
d051.s072.t005	0) engage or hire for work.
d051.s072.t006	2) cause someone or something to move by driving.
d051.s072.t007	0) a field covered with grass or herbage and suitable for grazing by livestock.
d051.s072.t008	5) the outside limit of an object or area or surface; a place farthest away from the center of something.
d051.s072.t009	0) an urban area with a fixed boundary that is smaller than a city.
d051.s072.t010	0) well known or easily recognized.  (Note: The word "familiar" is used here to mean "
d051.s072.t011	0) the sense organ for hearing and equilibrium.
d051.s072.t012	0) the time period between dawn and noon.
d051.s072.t013	0) the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
d051.s072.t014	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d051.s072.t015	0) a youthful male person.  (Note: The context of the sentence suggests that the boys are young males,
d051.s072.t016	0) pleasingly persuasive or intended to persuade.
d051.s072.t017	0) the distinctive quality or pitch or condition of a person's speech.
d051.s072.t018	0) a heavy dull sound (as made by impact of heavy objects). ...moreQuestion: given the following
d051.s072.t019	0) the foot of an ungulate mammal.
d051.s072.t020	0) a hard blow with a flat object.
d051.s072.t021	5) a long implement (usually made of wood) that is shaped so that hockey or polo players can hit a puck
d051.s072.t022	0) leather made from the hide of a cow.
d002.s027.t000	0) move toward, travel toward something or somebody or approach something or somebody.
d002.s027.t001	0) (often followed by `of') a large number or amount or extent.
d002.s027.t002	1) follow with the eyes or the mind.
d002.s027.t003	0) large tough nonrigid bag filled with gas or heated air.
d002.s027.t004	1) fill with gas or air.
d002.s027.t005	2) occupy a place or location, also metaphorically.
d002.s027.t006	0) reach, make, or come to a decision about something. Question: given the following sentence: "In
d002.s027.t007	0) travel through the air; be airborne.
d002.s027.t008	0) a container that is usually woven and has handles.
d002.s027.t009	10) contain or hold; have within.
d023.s030.t000	5) an adult male person who has a manly character (virile and courageous competent).  (Note: The
d023.s030.t001	0) a human being.
d023.s030.t002	0) feel or have a desire for; want strongly.
d023.s030.t003	4) cause to move; cause to be in a certain position or condition. (Note: This is a very specific
d023.s030.t004	3) made suitable and available for immediate use. Question: given the following sentence: "The sound of bells is
d023.s030.t005	1) an instrumentality for accomplishing some end.
d023.s030.t006	3) an avoidance of danger or difficulty.  ######This is a question from the "Semantics" section
d023.s030.t007	0) if there happens to be need.
d023.s030.t008	0) require as useful, just, or properFinal Answer: The final answer is 0) require as useful
d077.s098.t000	2) a determination of the place where something is. (Note: Albany is a city in the state of New York
d077.s098.t001	2) a determination of the place where something is. Question: given the following sentence: "The new policy,
d077.s098.t002	1) (United States) the largest administrative district within a state.
d077.s098.t003	0) not the same one or ones already mentioned or implied; - the White Queen. Question: given the following
d077.s098.t004	0) an adult person who is male (as opposed to a woman)  (or 2) the generic use
d077.s098.t005	1) carry out or perform an action.
d139.s057.t000	0) an open jar of glass or porcelain used as an ornament or to hold flowers.
d139.s057.t001	2) come about or follow as a consequence.
d139.s057.t002	14) get something; come into possession of. Question: given the following sentence: "`` I think that the
d139.s057.t003	0) unlike in nature or quality or form or degree.  #art #pottery #Geometric_style #v
d139.s057.t004	4) the visual appearance of something or someone. Question: given the following sentence: "The new president of the
d139.s057.t005	0) to a considerable degree; very much.
d139.s057.t006	0) used to form the comparative of some adjectives and adverbs.
d139.s057.t007	0) complicated in structure; consisting of interconnected parts.
d139.s057.t008	2) the act of decorating something (in the hope of making it more attractive). Question: given the following sentence
d139.s057.t009	0) large or big relative to something else.
d139.s057.t010	1) the meaning of a word or expression; the way in which a word or expression or situation can be interpreted.
d139.s057.t011	1) a way of expressing something (in language or art or music etc.) that is characteristic of a particular person or
posting.n.02_example.0	1) (bookkeeping) a listing on the company's records.
molar.a.04_example.0	3) pertaining to large units of behavior; --R.R. Hunt.
d017.s062.t000	0) a perceptible indication of something not immediately apparent (as a visible clue that something has happened) 9)
d017.s062.t001	0) a human beingQuestion: given the following sentence: "The new policy is expected to improve the overall quality
d017.s062.t002	0) a dwelling that serves as living quarters for one or more families.
d017.s062.t003	2) a determination of the place where something isQuestion: given the following sentence: "The 10,000
d017.s062.t004	2) a determination of the place where something is.
d017.s062.t005	0) a New England state; one of the original 13 coloniesQuestion: given the following sentence: "``
d050.s076.t000	0) used as an intensive especially to indicate something unexpected.
d050.s076.t001	0) small in range or scope.
d050.s076.t002	0) the psychological result of perception and learning and reasoning.
d050.s076.t003	7) an entity that is not named specifically.
d050.s076.t004	0) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about
d050.s076.t005	0) a motor vehicle with four wheels; usually propelled by an internal combustion engine. ...moreAnswer:
d050.s076.t006	0) restore by replacing a part or putting together what is torn or brokenQuestion: given the following sentence: "
d050.s076.t007	0) to a sufficient degree.
d050.s076.t008	1) not less than.
d050.s076.t009	4) reach a destination; arrive by movement or progress. Question: given the following sentence: "The new employee
d050.s076.t010	0) in or to or toward a former location.
d050.s076.t011	0) an urban area with a fixed boundary that is smaller than a city.
d019.s131.t000	1) follow with the eyes or the mind.
d019.s131.t001	3) be conscious of a physical, mental, or emotional state.
d019.s131.t002	0) a close observer; someone who looks at something (such as an exhibition of some kind)
d019.s131.t003	0) a game played with rackets by two or four players who hit a ball back and forth over a net that
d019.s131.t004	2) an amusement or pastime.
d019.s131.t005	0) round object that is hit or thrown or kicked in games.
d019.s131.t006	1) hit something so that it bounces. Question: given the following sentence: "`` The sound of bells
d019.s131.t007	2) moving in a repetitive and alternating manner, as if being bounced.
angle.v.01_example.0	2) seek indirectly.
d035.s011.t000	8) one of the portions into which something is regarded as divided and which together constitute a whole.  #### Movement of
