d058.s043.t000	shelter.n.h.01
d161.s002.t007	print.n.h.05
d161.s002.t008	location.n.h.01
d161.s002.t009	flower.n.h.01
d161.s002.t010	leaf.n.h.01
d161.s002.t011	surpass.v.h.01
d161.s002.t012	renew.v.h.01
d161.s002.t013	impression.n.h.01
d161.s002.t014	person.n.h.01
d161.s002.t015	mind.n.h.01
d161.s002.t016	dish\_up.v.h.01
d161.s002.t017	contemplation.n.h.01
d161.s002.t018	delight.n.h.01
d170.s012.t000	bars.n.h.01
d170.s012.t001	horse.n.h.01 (solid-hoofed herbivorous quadruped domesticated since
d170.s012.t002	The given sentence does not provide any context related to the homonym "buck" being a piece of paper money. Therefore
d170.s012.t003	springboard.n.h.01
d170.s012.t004	high_bar.n.h.01
d170.s012.t005	mat.n.h.03
d170.s012.t006	erst.r.h.01
d170.s012.t007	school.n.h.01
d170.s012.t008	gym.n.h.01
d170.s012.t009	replace.v.h.01
d170.s012.t010	baseball.n.h.01
d170.s012.t011	volleyball.n.h.01
d170.s012.t012	basketball.n.h.01
d170.s012.t013	football.n.h.01
d121.s027.t000	glance.v.h.01
d121.s027.t001	clearing.n.h.01
d121.s027.t002	take_in.v.h.01: ['see or watch', 'express willingness to have in one'
d121.s027.t003	wagon.n.h.01
d121.s027.t004	load.n.h.01
d121.s027.t005	caparison.n.h.01
d121.s027.t006	scattered.a.h.01
d121.s027.t007	ground.n.h.02, ground.n.h.03, ground.n.h.0
d121.s027.t008	2.a.h.01
d121.s027.t009	kid.n.h.01.
d121.s027.t010	whiteface.n.h.02.
d121.s027.t011	bull.n.h.01.
d121.s027.t012	chew.v.h.01
d121.s027.t013	cud.n.h.01
d121.s027.t014	just.r.h.01
d121.s027.t015	far.a.h.01
d121.s027.t016	reach.n.h.03: ['the limit of capability', 'the act of physically reaching or thrusting out
d121.s027.t017	firelight.n.h.01
d085.s022.t000	person.n.h.01
d085.s022.t001	be.v.h.01 : ['have existence, be extant', 'happen, occur, take place
d085.s022.t002	slender.a.h.01
d085.s022.t003	limb.n.h.01.
d085.s022.t004	delicate.a.h.01
d085.s022.t005	proportion.n.h.01
d085.s022.t006	hold.v.h.01: ['have or hold in one's hands or grip','secure and keep
d085.s022.t007	full-grown.a.h.01
d085.s022.t008	man.n.h.01
d085.s022.t009	securely.r.h.01
d085.s022.t010	convincingly.r.h.01
d085.s022.t011	child.n.h.01
d136.s003.t000	observation.n.h.01
d136.s003.t001	radio_emission.n.h.02: ['the radiation or transmission of energy in the form of radio waves
d136.s003.t002	planet.n.h.01
d136.s003.t003	have.v.h.01
d136.s003.t004	extensive.a.h.01
d136.s003.t005	atmosphere.n.h.05
d136.s003.t006	probe.v.h.01
d136.s003.t007	atmosphere.n.h.05
d136.s003.t008	to_a_greater_extent.r.h.01
d136.s003.t009	use.v.h.01
d136.s003.t010	short.a.h.01 : ['(primarily spatial sense) having little length or lacking in length']
d136.s003.t011	wavelength.n.h.01
d136.s003.t012	case.n.h.01
d136.s003.t013	give.v.h.01: ['convey or reveal information', 'transmit (knowledge or skills)',
d136.s003.t014	otherwise.r.h.01
d136.s003.t015	unobtainable.a.h.01
d136.s003.t016	information.n.h.03: ['a collection of facts from which conclusions may be drawn']
d136.s003.t017	characteristic.n.h.01
d136.s003.t018	solid.a.h.01
d136.s003.t019	surface.n.h.03
d179.s089.t000	be.v.h.01: ['happen, occur, take place']
d179.s089.t001	safe.a.h.01
d179.s089.t002	side.n.h.01
d179.s089.t003	never.r.h.01
d179.s089.t004	let.v.h.03: ['consent to, give permission']
d179.s089.t005	person.n.h.01
d179.s089.t006	get_out.v.h.01
d179.s089.t007	sight.n.h.01
d179.s089.t008	day.n.h.02
d179.s089.t009	night.n.h.01
d002.s005.t000	man.n.h.01
d002.s005.t001	now.r.h.01: ['at the present moment']
d002.s005.t002	command.v.h.01
d002.s005.t003	start.v.h.01
d002.s005.t004	voyage.n.h.01
d002.s005.t005	ordinary.a.h.01
d002.s005.t006	gob.n.h.03
d083.s041.t000	boost.v.h.01
d083.s041.t001	telegraph.n.h.01
d083.s041.t002	business.n.h.01 : ['the volume of commercial activity', 'business concerns collectively']
d083.s041.t003	manchester.n.h.01
d083.s041.t004	bask.v.h.01
d083.s041.t005	all.a.h.01
d083.s041.t006	free.a.h.01 : ['costing nothing']
d083.s041.t007	advertising.n.h.01
d156.s026.t000	seem.v.h.01
d156.s026.t001	clear.a.h.01
d156.s026.t002	consideration.n.h.01
d156.s026.t003	exceedingly.r.h.01
d156.s026.t004	defective.a.h.01
d156.s026.t005	eyesight.n.h.01
d156.s026.t006	patient.n.h.01
d156.s026.t007	describe.v.h.01
d156.s026.t008	in_detail.r.h.01
d156.s026.t009	second.a.h.01.
d156.s026.t010	question.n.h.01
d156.s026.t011	concern.v.h.01
d156.s026.t012	psychic.a.h.01
d156.s026.t013	blindness.n.h.01
d156.s026.t014	patient.n.h.01
d156.s026.t015	cutaneous_senses.n.h.01
d156.s026.t016	much.r.h.01
d156.s026.t017	usual.a.h.01
d156.s026.t018	portfolio.n.h.01 (a large, flat, thin case for carrying papers or drawings)
d156.s026.t019	maker.n.h.01
d156.s026.t020	consequently.r.h.01
d156.s026.t021	faculty.n.h.01
d156.s026.t022	be.v.h.01
d156.s026.t023	most.r.h.01
d156.s026.t024	probably.r.h.01
d156.s026.t025	more.r.h.01
d156.s026.t026	sensitive.a.h.01
d156.s026.t027	shape.n.h.02
d156.s026.t028	size.n.h.01
d156.s026.t029	person.n.h.01
d156.s026.t030	normal.a.h.01
d156.s026.t031	vision.n.h.02: ['the ability to see; the visual faculty']
repair.n.02_example.0	repair.n.h.01
d105.s079.t000	very.r.h.01
d105.s079.t001	little.a.h.01
d105.s079.t002	phylum_protozoa.n.h.01
d105.s079.t003	activity.n.h.01
d105.s079.t004	exist.v.h.01
d105.s079.t005	below.r.h.01 : ['at a later place']
d105.s079.t006	40.a.h.03 : ['forty']
d105.s079.t007	f.n.h.02.
d143.s091.t000	caesar.n.h.01
d143.s091.t001	have.v.h.01: ['have ownership or possession of', 'get something; come into possession of']
d143.s091.t002	only.r.h.01
d143.s091.t003	one.a.h.01
d143.s091.t004	joke.n.h.01
d143.s091.t005	find_out.v.h.02
d081.s053.t000	simplified.a.h.01
d081.s053.t001	version.n.h.02: ['something a little different from others of the same type']
d081.s053.t002	instrumentation.n.h.01
d081.s053.t003	procedure.n.h.01
d081.s053.t004	indicate.v.h.02: ['make (something) visible or noticeable by giving it a form or shape
d081.s053.t005	fig.n.h.03
d081.s053.t006	2.a.h.02 : ['a figure or symbol representing the number two']
d042.s052.t000	practical.a.h.01
d042.s052.t001	operational.a.h.01
d042.s052.t002	problem.n.h.01
d042.s052.t003	lexicostatistics.n.h.01
d042.s052.t004	be.v.h.01
d042.s052.t005	establishment.n.h.01
d042.s052.t006	basic.a.h.01
d042.s052.t007	list.n.h.01
d042.s052.t008	item.n.h.01
d042.s052.t009	meaning.n.h.01
d042.s052.t010	particular.a.h.01
d042.s052.t011	form.n.h.01: ['the phonological or orthographic sound or appearance of a word that can
d042.s052.t012	term.n.h.01.Explanation: In the given sentence, the word "terms
d042.s052.t013	language.n.h.01
d042.s052.t014	match.v.h.01
d042.s052.t015	medium.n.h.01
d042.s052.t016	comparison.n.h.01
club.n.06_example.0	club.n.h.02: ['a formal association of people with similar interests'] is not a definition for the
d167.s062.t000	no_doubt.r.h.01
d167.s062.t001	some.a.h.01
d167.s062.t002	experience.n.h.01
d167.s062.t003	vanish.v.h.01
d167.s062.t004	so.r.h.01: ['to a very great extent or degree']
d167.s062.t005	completely.r.h.01
d167.s062.t006	leave.v.h.01: ['go and leave behind, either intentionally or by neglect or forgetfulness',
d167.s062.t007	trace.n.h.01
d167.s062.t008	sleeper.n.h.01
d167.s062.t009	mind.n.h.01
senseval2.d001.s000.t000	medical.a.h.01
senseval2.d001.s000.t002	start.v.h.01
senseval2.d001.s000.t003	handfull.n.h.01
senseval2.d001.s000.t005	damaged.a.h.01
senseval2.d001.s000.t006	unleash.v.h.01
senseval2.d001.s000.t007	chaotic.a.h.01
senseval2.d001.s000.t008	growth.n.h.01: ['(pathology) an abnormal proliferation of tissue (as in
senseval2.d001.s000.t009	cell.n.h.01
senseval2.d001.s000.t010	characterise.v.h.01
senseval2.d001.s000.t011	cancer.n.h.02
d022.s002.t000	difficulty.n.h.02
d022.s002.t001	be.v.h.01: ['happen, occur, take place']
d022.s002.t002	apiece.r.h.01
d022.s002.t003	day.n.h.01
d022.s002.t004	seem.v.h.01
d022.s002.t005	produce.v.h.01
d022.s002.t006	quota.n.h.01
d022.s002.t007	detail.n.h.01
d022.s002.t008	clean_up.v.h.01
d022.s002.t009	immediately.r.h.01
d092.s038.t000	30.a.h.01
d092.s038.t001	cent.n.h.01
d092.s038.t002	cent.n.h.01
d092.s038.t003	60.a.h.03 : ['sixty']
d092.s038.t004	cent.n.h.01
d092.s038.t005	be.v.h.01 : ['are priced at']
d092.s038.t006	available.a.h.01
d092.s038.t007	person.n.h.01
d092.s038.t008	group.n.h.05 : ['a government printing office']
d092.s038.t009	washington.n.h.04.
d092.s038.t010	d.c..n.h.01
d092.s063.t000	3rd.a.h.01
d092.s063.t001	credit.n.h.01
d092.s063.t002	service.n.h.01
d092.s063.t003	group.n.h.03 : ['a building or organization where financial services are provided']
d092.s063.t004	exist.v.h.01
d092.s063.t005	authority.n.h.01
d028.s022.t000	light.a.h.02Explanation: The target word "light" in the given sentence does
d028.s022.t001	blue.a.h.01 (color)
d028.s022.t002	eye.n.h.01
d028.s022.t003	set.c.h.03 : ["situated in a particular spot or position"]
d028.s022.t004	deep.r.h.01
d028.s022.t005	face.n.h.01
d028.s022.t006	actively.r.h.01
d028.s022.t007	continually.r.h.01
d028.s022.t008	look.v.h.01
d066.s035.t000	case.n.h.01
d066.s035.t001	in_evidence.a.h.01
d066.s035.t002	use.n.h.01.Explanation: The sentence "given the following sentence: '
d066.s035.t003	roleplaying.n.h.01
d066.s035.t004	analysis.n.h.01
d066.s035.t005	help.v.h.01
d066.s035.t006	explain.v.h.01
d066.s035.t007	procedure.n.h.01
slot.n.04_example.1	slot.n.h.01
d165.s082.t000	case.n.h.01
d165.s082.t001	attitude.n.h.01
d165.s082.t002	be.v.h.01
d165.s082.t003	fitting.a.h.01
d165.s082.t004	out_or_keeping.a.h.01
d165.s082.t005	other.a.h.01
d165.s082.t006	mean.v.h.01. 'denote or connote'
d165.s082.t007	notion.n.h.01
d165.s082.t008	fitness.n.h.01
d165.s082.t009	lose.v.h.01
d165.s082.t010	point.n.h.03: 'a brief version of the essential meaning of something', 'an outstanding characteristic',
d068.s032.t000	person.n.h.01
d068.s032.t001	think.v.h.01
d068.s032.t002	person.n.h.01
d068.s032.t003	be.v.h.01: ['happen, occur, take place']
d068.s032.t004	sweet.a.h.01
d068.s032.t005	boy.n.h.01.Explanation: The word "bawh" in the sentence
d068.s032.t006	lie.v.h.01
d068.s032.t007	person.n.h.01
d068.s032.t008	get_to.v.h.01
d068.s032.t009	be.v.h.01: ['happen, occur, take place']
d068.s032.t010	man.n.h.01
d068.s032.t011	no.a.h.01.
d068.s032.t012	get_around.v.h.02
d122.s003.t000	person.n.h.01
d122.s003.t001	twist.v.h.01. ['to move in a twisting or contorted motion, (especially when struggling
d122.s003.t002	frantically.r.h.01
d122.s003.t003	command.v.h.01
d122.s003.t004	female_horse.n.h.01
d122.s003.t005	leap.v.h.01
d122.s003.t006	straight.r.h.01
d122.s003.t007	ahead.r.h.01
d153.s050.t000	person.n.h.01
d153.s050.t001	be.v.h.01: ['happen, occur, take place']
d153.s050.t002	reluctant.a.h.01
d153.s050.t003	person.n.h.01
d153.s050.t004	succeded.v.h.01
d153.s050.t005	persuade.v.h.01
d153.s050.t006	5.a.h.01
d153.s050.t007	minute.n.h.01
d153.s050.t008	door.n.h.01
d153.s050.t009	shut.v.h.01
d153.s050.t010	again.r.h.02: ['once more']
d064.s052.t000	The correct homonym key for the word "brushes" in the given context is brush.n.h.01
d064.s052.t001	be.v.h.01
d064.s052.t002	different.a.h.01
d064.s052.t003	use.v.h.01
d064.s052.t004	most.a.h.01
d064.s052.t005	watercolorist.n.h.01
d064.s052.t006	combine.v.h.01
d064.s052.t007	sable.n.h.01
d064.s052.t008	bristle.n.h.01
gauntlet.n.01_example.1	gauntlet.n.h.01
d078.s036.t000	father.n.h.01
d078.s036.t001	business.n.h.01
d078.s036.t002	collapse.v.h.01
d078.s036.t003	go.v.h.01: ['begin or set in motion']
d078.s036.t004	bankrupt.a.h.01
d078.s036.t005	person.n.h.01.
d078.s036.t006	senior.a.h.01
d078.s036.t007	turn_over.v.h.01: ['do business worth a certain amount of money', 'turn from an
d078.s036.t008	business_firm.n.h.01
d078.s036.t009	bank.n.h.02
d078.s036.t010	liquidation.n.h.01
d041.s105.t000	aeroplane.n.h.01
d041.s105.t001	light.a.h.02.
d041.s105.t002	most.a.h.01
d041.s105.t003	gas.n.h.03
d041.s105.t004	burn.v.h.01 : ['destroy by fire', 'undergo combustion','spend (
d041.s105.t005	respond.v.h.01
d041.s105.t006	attractively.r.h.01
d011.s146.t000	swing.v.h.01: ['swing' as in move in a curve or arc, change direction with a
d011.s146.t001	then.r.h.01
d011.s146.t002	bend.v.h.01: ['turn from a straight course, fixed direction, or line of interest',
d011.s146.t003	forward.r.h.01
d011.s146.t004	horn.n.h.02
d011.s146.t005	urge.v.h.01
d011.s146.t006	mount.n.h.01.
d011.s146.t007	meandering.a.h.01
d011.s146.t008	draw.n.h.01 : ['a gully that is shallower than a ravine']
pound.v.06_example.0	The corresponding homonym key for the semantics of the target word "pounded" in the given sentence is pound
d185.s037.t000	group.n.h.01
d185.s037.t001	be.v.h.01 : ['have an existence, be extant', 'happen, occur, take
d185.s037.t002	may.n.h.01
trace.n.01_example.0	trace.n.h.01
d158.s082.t000	be.v.h.01 : ['happen, occur, take place']
d158.s082.t001	mentality.n.h.01
d158.s082.t002	crave.v.h.01
d158.s082.t003	action.n.h.01
d158.s082.t004	set in motion, cause to start, begin an event
d158.s082.t005	get_it.v.h.01
d158.s082.t006	person.n.h.01.
d158.s082.t007	person.n.h.01.
d158.s082.t008	report.v.h.01
d158.s082.t009	page.n.h.02.
semeval2013.d011.s005.t000	right.n.h.04 : ['those who support political or social or economic conservatism; those who
semeval2013.d011.s005.t001	tone.n.h.04
semeval2013.d011.s005.t003	problem.n.h.01
semeval2013.d011.s005.t004	country.n.h.01
semeval2013.d011.s005.t005	worker.n.h.01
semeval2013.d011.s005.t006	left.n.h.02 : ['those who support varying degrees of social or political or economic change designed to
semeval2013.d011.s005.t007	france.n.h.01
semeval2013.d011.s005.t009	misery.n.h.01
d152.s047.t000	capital.n.h.01
d152.s047.t001	import.n.h.01 : ['commodities (goods or services) bought from a foreign country']
d152.s047.t002	draw.v.h.08 : ['remove the entrails of', 'take liquid out of a container or
d152.s047.t003	number.n.h.01
d152.s047.t004	source.n.h.01
d152.s047.t005	employ.v.h.01
d152.s047.t006	combine.v.h.01
d152.s047.t007	skilfully.r.h.01
d152.s047.t008	enough.r.h.01
d152.s047.t009	permit.v.h.01
d152.s047.t010	domestic.a.h.01
d152.s047.t011	investment.n.h.01
d152.s047.t012	programing.n.h.01
d152.s047.t013	go_forward.v.h.01
d151.s062.t000	collective.a.h.01
d151.s062.t001	policy.n.h.01
d151.s062.t002	group.n.h.01
d151.s062.t003	national.a.h.01
d151.s062.t004	similarly.r.h.01
d151.s062.t005	base.v.h.01: ['use as a basis for']
d151.s062.t006	voodoo.n.h.01
d151.s062.t007	here.r.h.01
d151.s062.t008	often.r.h.01
d151.s062.t009	lack.v.h.01
d151.s062.t010	even.r.h.01: ['in spite of; notwithstanding']
d151.s062.t011	by_trial_and_error.r.h.01
d151.s062.t012	successful.a.h.01
d151.s062.t013	ritual.n.h.01
d151.s062.t014	still.r.h.01.
d151.s062.t015	engage.v.h.01: ['carry out or participate in an activity; be involved in', 'hire
d151.s062.t016	determine.v.h.01
d138.s081.t000	value.n.h.01
d138.s081.t001	site.n.h.01
d138.s081.t002	affect.v.h.01
d138.s081.t003	appearance.n.h.01
d138.s081.t004	land.n.h.02
d138.s081.t005	ownership.n.h.01
d138.s081.t006	use.n.h.01
d138.s081.t007	land.n.h.01
d138.s081.t008	utility.n.h.01
d138.s081.t009	available.a.h.01
d138.s081.t010	there.r.h.01
pick.n.08_example.0	pick.n.h.05: ["a basketball maneuver; obstructing an opponent with one's
set.n.12_example.1	set.n.h.01
d057.s043.t000	know.v.h.01
d057.s043.t001	first.a.h.01
d057.s043.t002	sometimes.r.h.01
d057.s043.t003	most.r.h.01
d057.s043.t004	difficult.a.h.01
d057.s043.t005	job.n.h.02
d057.s043.t006	be.v.h.01
d057.s043.t007	know.v.h.01
d057.s043.t008	question.n.h.01
d057.s043.t009	be.v.h.01
d057.s043.t010	accurately.r.h.01
d057.s043.t011	identify.v.h.01
d057.s043.t012	sometimes.r.h.01
d057.s043.t013	answer.v.h.01
d057.s043.t014	way.n.h.01
d057.s043.t015	pose.v.h.01
d057.s043.t016	frequently.r.h.01
d057.s043.t017	shape.v.h.01
d057.s043.t018	answer.n.h.01
d031.s056.t000	here.r.h.01
d031.s056.t001	again.r.h.01
d031.s056.t002	written_communication.n.h.01
d031.s056.t003	be.v.h.01
d031.s056.t004	possible.a.h.01
d031.s056.t005	help.v.h.01
d031.s056.t006	reader.n.h.01
d031.s056.t007	get.v.h.01
d031.s056.t008	stress.n.h.02
d031.s056.t009	right.a.h.02 : ['free from error; especially conforming to fact or truth', 'in con
d031.s056.t010	use.v.h.01
d031.s056.t011	underline.v.h.01
d031.s056.t012	italic.n.h.02
d031.s056.t013	much.a.h.01
d031.s056.t014	time.n.h.06 : ['the fourth coordinate that is required (along with three spatial dimensions) to
d031.s056.t015	simply.r.h.01
d031.s056.t016	reliance.n.h.01
d031.s056.t017	understanding.n.h.01
d031.s056.t018	light.n.h.02:'mental understanding as an enlightening experience'
d031.s056.t019	context.n.h.01
port.v.05_example.0	port.v.h.03.
d127.s052.t000	plane.n.h.01
d127.s052.t001	action.n.h.06 : ['the series of events that form a plot']
d127.s052.t002	scene.n.h.05
d127.s052.t003	be.v.h.01: ['happen, occur, take place']
d127.s052.t004	non.r.h.01
d127.s052.t005	parallel.a.h.01
d127.s052.t006	plane.n.h.01
d127.s052.t007	film.n.h.01
d127.s052.t008	camera.n.h.01: ['device for recording or projecting moving pictures']Explanation:
d127.s052.t009	screen.n.h.01
d017.s126.t000	man.n.h.01
d017.s126.t001	person.n.h.01
d017.s126.t002	pronounce.v.h.01
d017.s126.t003	fire.v.h.01: ['terminate the employment of; discharge from an office or position']
d017.s126.t004	person.n.h.01
d017.s126.t005	insistence.n.h.01
senseval3.d000.s046.t001	guy.n.h.01
senseval3.d000.s046.t002	make.v.h.01: ['cause to do; cause to act in a specified manner', 'inst
senseval3.d000.s046.t003	exit.n.h.01
d125.s010.t000	year.n.h.01
d125.s010.t001	coach.n.h.02.
d125.s010.t002	person.n.h.01
d125.s010.t003	tell.v.h.01
d125.s010.t004	work_on.v.h.01
d125.s010.t005	place-kicking.n.h.01
d125.s010.t006	think.v.h.01
d125.s010.t007	use.v.h.01
d125.s010.t008	say.v.h.01
d125.s010.t009	person.n.h.01.
d018.s028.t000	look.v.h.01
d018.s028.t001	friend.n.h.01
d018.s028.t002	say.v.h.01
d018.s028.t003	life.n.h.01
d018.s028.t004	learn.v.h.01
d018.s028.t005	be.v.h.01
d018.s028.t006	Answer: adage.n.h.01
d018.s028.t007	say.v.h.01
d018.s028.t008	better.a.h.01
d018.s028.t009	ounce.n.h.01
d018.s028.t010	prevention.n.h.01
d018.s028.t011	pound.n.h.02.
d018.s028.t012	curative.n.h.01
d135.s055.t000	location.n.h.01
d135.s055.t001	literally.r.h.01
d135.s055.t002	litter.v.h.01
d135.s055.t003	summer.n.h.01
d135.s055.t004	prostrate.a.h.01
d135.s055.t005	body.n.h.03 : ['an individual 3-dimensional object that has mass and that is distinguishable
d135.s055.t006	france.n.h.01
d135.s055.t007	beat-up.a.h.01
d135.s055.t008	beatnik.n.h.01
d021.s048.t000	recent.a.h.01
d021.s048.t001	newspaper.n.h.01
d021.s048.t002	report.n.h.01
d021.s048.t003	say.v.h.01
d021.s048.t004	5.a.h.01
d021.s048.t005	black_person.n.h.01
d021.s048.t006	graduating_class.n.h.01
d021.s048.t007	nearly.r.h.01
d021.s048.t008	1000.a.h.01
d021.s048.t009	yale.n.h.01
d021.s048.t010	one-half.n.h.01
d021.s048.t011	one.a.h.01
d021.s048.t012	pct.n.h.01
d021.s048.t013	look.v.h.01: ["give a certain impression or have a certain outward aspect"]
d021.s048.t014	jolly.a.h.02 : ['looking attractive or charming, pleasing to the eye or ear']..
d021.s048.t015	token.a.h.01
d021.s048.t016	especially.r.h.01
d021.s048.t017	institution.n.h.01
d021.s048.t018	profess.v.h.01
d021.s048.t019	be.v.h.01 : ['happen, occur, take place']
d021.s048.t020	national.a.h.01
d027.s018.t000	be.v.h.01
d027.s018.t001	better_off.a.h.01
d027.s018.t002	class_fellow.n.h.01
d027.s018.t003	go_on.v.h.01
d027.s018.t004	college.n.h.01
d027.s018.t005	professional.a.h.01
d027.s018.t006	school.n.h.01
d241.s030.t000	consider.v.h.01
d241.s030.t001	The corresponding homonym key for the semantics of the target word "staying" in the given sentence is:
lie.v.06_example.1	rest.v.h.02
d138.s059.t000	fishing.n.h.01
d138.s059.t001	interest.n.h.01
d138.s059.t002	call_for.v.h.01
d138.s059.t003	check.n.h.01.
d138.s059.t004	species.n.h.01
d138.s059.t005	find.v.h.01
d138.s059.t006	quantity.n.h.01
d138.s059.t007	size.n.h.01
d138.s059.t008	season.n.h.01
d138.s059.t009	be.v.h.01
d138.s059.t010	available.a.h.01
d138.s059.t011	stocking.n.h.01 (the activity of supplying a stock of something)
d138.s059.t012	program.n.h.03: ['a sequence of instructions that a computer can interpret and execute']
d138.s059.t013	fish.n.h.01
d138.s059.t014	commission.n.h.07: ['a group of representatives or delegates', 'an official document issued by a
light.s.24_example.1	light.a.h.02.
d041.s174.t000	sweat.n.h.01
d041.s174.t001	pop_out.v.h.01
d041.s174.t002	feel.v.h.03
d041.s174.t003	slick.n.h.01
d041.s174.t004	palm.n.h.02.
d041.s174.t005	stick.n.h.03
d041.s174.t006	grip.n.h.01 (the appendage to an object that is designed to be held in order to use
stay.v.09_example.0	The corresponding homonym key for the semantics of the target word "stayed" in the given sentence is stay
stake.v.04_example.0	The semantics of the target word "Stake" in the given sentence can be described by homonym cluster stake.
d183.s015.t000	person.n.h.01
d183.s015.t001	regard.v.h.02: ['look at attentively']
d183.s015.t002	ear.n.h.01
d183.s015.t003	grizzled.a.h.01
d183.s015.t004	hair.n.h.05
d183.s015.t005	moment.n.h.02: ['an indefinitely short time', 'having important effects or influence']
d183.s015.t006	interest.n.h.01
d199.s009.t000	scale.v.h.03
d007.s042.t000	practically.r.h.01
d007.s042.t001	people.n.h.01
d007.s042.t002	lao_people's_democratic_republic.n.h.01
d007.s042.t003	explain.v.h.01
d007.s042.t004	2.a.h.01
d007.s042.t005	million.n.h.01
d007.s042.t006	be.v.h.01: ['have an existence, be extant', 'happen, occur, take
d007.s042.t007	rice.n.h.02
d007.s042.t008	farmer.n.h.01
d007.s042.t009	means.n.h.01
d007.s042.t010	motive.n.h.01
d007.s042.t011	modern.a.h.01
d007.s042.t012	war.n.h.01
d007.s042.t013	be.v.h.01: ['have an existence, be extant', 'happen, occur, take
d007.s042.t014	strange.a.h.01
d007.s042.t015	clock.n.h.01
d007.s042.t016	steel.n.h.01
d007.s042.t017	plough.n.h.02
fuse.v.04_example.0	fuse.v.h.01
d158.s036.t000	loss.n.h.02 : ['the disadvantage that results from losing something']
d158.s036.t001	part.r.h.01
d158.s036.t002	counterbalance.v.h.01
d158.s036.t003	500.a.h.01
d158.s036.t004	arrival.n.h.02
d158.s036.t005	each_week.r.h.01
d158.s036.t006	location.n.h.01.Explanation:The term "West Germany" refers to a
d158.s036.t007	hard.a.h.01: ['unfortunate or hard to bear']
d158.s036.t008	truth.n.h.02
d158.s036.t009	say.v.h.01
d158.s036.t010	person.n.h.01.
d158.s036.t011	be.v.h.01
d158.s036.t012	closing_off.n.h.01
d158.s036.t013	location.n.h.01
d158.s036.t014	interference.n.h.01.Explanation: In the context of the sentence, "inter
d158.s036.t015	west.n.h.01
d158.s036.t016	use.n.h.01 : ['the act of using', 'what something is used for', '(econom
d158.s036.t017	only.r.h.01
d158.s036.t018	east_german.a.h.01
d158.s036.t019	distinct.a.h.01
d158.s036.t020	russian.a.h.01
d158.s036.t021	soldiery.n.h.01
d158.s036.t022	be.v.h.01: ['happen, occur, take place', 'be identical or equivalent to']
d158.s036.t023	major.a.h.01
d158.s036.t024	communist.a.h.01
d158.s036.t025	victory.n.h.02
d158.s036.t026	deal.v.h.01: ['take action with respect to (someone or something)', 'come to terms
d158.s036.t027	location.n.h.01
d158.s036.t028	deadly.a.h.01
d158.s036.t029	possibly.r.h.01
d158.s036.t030	fatal.a.h.01
d158.s036.t031	blow.n.h.03.
d304.s041.t000	allow.v.h.01
d304.s041.t001	file.v.h.01
d304.s041.t002	touch_down.v.h.01
indent.v.01_example.0	indent.v.h.01.
georgian.a.01_example.0	georgian.a.h.02
d064.s046.t000	use.v.h.01
d064.s046.t001	variety.n.h.01
d064.s046.t002	hand-crafted.a.h.01
d064.s046.t003	paper.n.h.01
d064.s046.t004	prefer.v.h.01
d064.s046.t005	english.a.h.01
d064.s046.t006	make.n.h.03: ['something created or manufactured']Explanation: In the context of
d064.s046.t007	rough.a.h.01
d064.s046.t008	surface.n.h.01
d064.s046.t009	lbf.n.h.01
d064.s046.t010	weight.n.h.06 : ['a unit used to measure weight', 'a system of units used to express
d028.s140.t000	consciousness.n.h.01
d028.s140.t001	mirror.v.h.01: ['reflect or resemble']
d028.s140.t002	come.v.h.01: ['reach a destination; arrive by movement or progress', 'happen as a
d028.s140.t003	earlier.r.h.01
d028.s140.t004	europe.n.h.01
d028.s140.t005	america.n.h.01
d028.s140.t006	be.v.h.01
d028.s140.t007	consciousness.n.h.01
d028.s140.t008	most.a.h.01
d028.s140.t009	mature.a.h.01
d028.s140.t010	society.n.h.01
d028.s140.t011	arrive_at.v.h.01
d028.s140.t012	success.n.h.03 : ['a state of prosperity or fame']
d028.s140.t013	technological.a.h.01
d028.s140.t014	economic.a.h.01
d028.s140.t015	systematisation.n.h.01
d028.s140.t016	propel.v.h.01
d028.s140.t017	time.n.h.06 : ['the continuum of experience in which events pass from the future through the present
d028.s140.t018	examine.v.h.01
d028.s140.t019	non.r.h.01.
d028.s140.t020	strictly.r.h.01
d028.s140.t021	practical.a.h.01
d028.s140.t022	end.n.h.01
d028.s140.t023	culture.n.h.01
d136.s040.t000	radio_observation.n.h.01
d136.s040.t001	moon.n.h.02
d136.s040.t002	range.n.h.07: ['the limit of capability', 'the set of values of the dependent variable for
d136.s040.t003	wavelength.n.h.01
d136.s040.t004	millimeter.n.h.01
d136.s040.t005	centimeter.n.h.01
d136.s040.t006	result.n.h.01
d136.s040.t007	summarise.v.h.01
d136.s040.t008	table.n.h.01
d055.s081.t000	latter.a.h.01
d055.s081.t001	be.v.h.01
d055.s081.t002	useful.a.h.01
d055.s081.t003	modify.v.h.01
d055.s081.t004	information.n.h.03
d055.s081.t005	form.n.h.01
d055.s081.t006	word.n.h.01
d055.s081.t007	hence.r.h.01
d055.s081.t008	reduce.v.h.01
d055.s081.t009	work.n.h.01
d055.s081.t010	require.v.h.01
d055.s081.t011	ameliorate.v.h.01
d055.s081.t012	dictionary.n.h.01
d055.s081.t013	content.n.h.02
brush.n.09_example.1	The semantics of the target word "brushes" in the given sentence can be described by the homonym cluster:
