d058.s043.t000	shelter.n.h.01.
d072.s057.t002	possible.a.h.01.
d072.s057.t003	capacity.n.h.01.
d072.s057.t004	defer.v.h.01.
d072.s057.t005	gratification.n.h.01.
d072.s057.t006	develop.v.h.01.
d072.s057.t007	express.v.h.01.
d072.s057.t008	continuous.a.h.01.
d072.s057.t009	exposure.n.h.01.
d072.s057.t010	great.a.h.01.
d072.s057.t011	literature.n.h.01.
d138.s085.t000	check.n.h.01.
d138.s085.t001	elevation.n.h.05.
d138.s085.t002	ground.n.h.01.
d138.s085.t003	degree.n.h.01.
d138.s085.t004	direction.n.h.01.
d138.s085.t005	slope.n.h.01.
d138.s085.t006	drainage.n.h.01.
d138.s085.t007	outcrop.n.h.01.
d138.s085.t008	surface_soil.n.h.01.
d138.s085.t009	type.n.h.01.
d138.s085.t010	quality.n.h.01.
d138.s085.t011	subsoil.n.h.01.
d118.s037.t000	simultaneously.r.h.01.
d118.s037.t001	male.n.h.02.
d118.s037.t002	drone.n.h.01.
d118.s037.t003	produce.v.h.01.
d118.s037.t004	mostly.r.h.01.
d118.s037.t005	egg.n.h.01.
d118.s037.t006	worker.n.h.03.
d118.s037.t007	produce.v.h.01.
d118.s037.t008	queen.n.h.03.
d048.s038.t000	counsel.n.h.01.
d048.s038.t001	group.n.h.01.
d048.s038.t002	indicate.v.h.01.
d048.s038.t003	preference.n.h.01.
d048.s038.t004	submission.n.h.01.
d048.s038.t005	detailed.a.h.01.
d048.s038.t006	plan.n.h.01.
d048.s038.t007	side.n.h.01.
d048.s038.t008	early.a.h.01.
d048.s038.t009	date.n.h.01.
d183.s036.t000	person.n.h.01.
d183.s036.t001	gaze.v.h.01.
d183.s036.t002	gray.a.h.01.
d183.s036.t003	slum.n.h.01.
d183.s036.t004	say.v.h.01.
d183.s036.t005	softly.r.h.01.
d183.s036.t006	look.v.h.01.
d183.s036.t007	stupid.a.h.01.
d183.s036.t008	kid.n.h.01.
d109.s040.t000	inscribe.v.h.01.
d109.s040.t001	base.n.h.01.
d109.s040.t002	be.v.h.01.
d109.s040.t003	charm.n.h.01.
d109.s040.t004	balinese.n.h.01.
d109.s040.t005	dialect.n.h.01.
d109.s040.t006	take.v.h.01.
d109.s040.t007	comprehend.v.h.01.
d141.s057.t000	sit.v.h.01.
d141.s057.t001	awhile.r.h.01.
d141.s057.t002	hand.n.h.01.
d141.s057.t003	knee.n.h.01.
d141.s057.t004	watch.v.h.01.
d141.s057.t005	bend.n.h.01.
d141.s057.t006	back.n.h.01.
d141.s057.t007	gather_up.v.h.01.
d141.s057.t008	thing.n.h.01.
d141.s057.t009	comb.n.h.01.
d141.s057.t010	bottle.n.h.01.
d141.s057.t011	acetylsalicylic_acid.n.h.01.
d141.s057.t012	take.v.h.01.
d141.s057.t013	upstairs.r.h.01.
d141.s057.t014	pack.v.h.01.
d089.s010.t000	let.v.h.01.
d089.s010.t001	say.v.h.01.
d089.s010.t002	get-go.n.h.01.
d089.s010.t003	music.n.h.01.
d089.s010.t004	sound.v.h.01.
d089.s010.t005	last.a.h.01.
d089.s010.t006	playing.n.h.01.
d089.s010.t007	first.a.h.01.
d334.s001.t000	affect.v.h.01.
d334.s001.t001	leave.v.h.01.
d171.s074.t000	warped.a.h.01.
d171.s074.t001	broken.a.h.01.
d171.s074.t002	tree.n.h.01.
d171.s074.t003	vale.n.h.01.
d171.s074.t004	assume.v.h.03.
d171.s074.t005	wraithlike.a.h.01.
d171.s074.t006	shape.n.h.02.
senseval2.d002.s075.t000	want.v.h.01.
senseval2.d002.s075.t001	appreciate.v.h.01.
senseval2.d002.s075.t002	just.r.h.01.
senseval2.d002.s075.t004	situation.n.h.01.
senseval2.d002.s075.t005	student.n.h.01.
senseval2.d002.s075.t006	add.v.h.01.
senseval2.d002.s075.t007	subtract.v.h.01.
senseval2.d002.s075.t008	learn.v.h.01.
senseval2.d002.s075.t010	basis.n.h.01.
senseval2.d002.s075.t011	mathematical.a.h.01.
senseval2.d002.s075.t013	read.v.h.01.
senseval2.d002.s075.t014	article.n.h.01.
senseval2.d002.s075.t015	recent.a.h.01.
senseval2.d002.s075.t017	major.n.h.02.
d245.s052.t000	shock.v.h.01.
d245.s052.t001	service.v.h.01.
d155.s019.t000	action.n.h.01.
d155.s019.t001	serve.v.h.01.
d155.s019.t002	protect.v.h.01.
d155.s019.t003	as_a_matter_of_fact.r.h.01.
d155.s019.t004	in_effect.r.h.01.
d155.s019.t005	court.n.h.01.
d155.s019.t006	ward.n.h.02.
d155.s019.t007	undue.a.h.01.
d155.s019.t008	cost.n.h.01.
d155.s019.t009	appointed.a.h.01.
d155.s019.t010	elected.a.h.01.
d155.s019.t011	servant.n.h.01.
d155.s019.t012	unmeritorious.a.h.01.
d155.s019.t013	criticism.n.h.01.
d155.s019.t014	jury.n.h.01.
d155.s019.t015	say.v.h.01.
d124.s032.t000	no.n.h.02.
d124.s032.t001	say.v.h.01.
d124.s032.t002	person.n.h.01.
d198.s079.t000	manage.v.h.01.
d198.s079.t001	bat.v.h.01.
d198.s079.t002	explode.v.h.01.
d021.s018.t000	virginia.n.h.01.
d021.s018.t001	judge.n.h.01.
d021.s018.t002	back.r.h.01.
d021.s018.t003	cite.v.h.01.
d021.s018.t004	roman.a.h.01.
d021.s018.t005	jurist.n.h.01.
d021.s018.t006	effect.n.h.01.
d021.s018.t007	10.a.h.01.
d021.s018.t008	year.n.h.01.
d021.s018.t009	be.v.h.01.
d021.s018.t010	reasonable.a.h.01.
d021.s018.t011	length.n.h.01.
d021.s018.t012	time.n.h.01.
d021.s018.t013	change.n.h.01.
d089.s009.t000	occasion.n.h.01.
d089.s009.t001	marathon.n.h.01.
d089.s009.t002	group.n.h.01.
d089.s009.t003	long.r.h.01.
d089.s009.t004	anticipated.a.h.01.
d089.s009.t005	reissue.n.h.01.
d089.s009.t006	series.n.h.01.
d089.s009.t007	version.n.h.01.
d094.s082.t000	background.n.h.03.
d094.s082.t001	spectrum.n.h.01.
d094.s082.t002	obtain.v.h.01.
d094.s082.t003	all.a.h.01.
d094.s082.t004	case.n.h.01.
d025.s163.t000	day.n.h.02.
d025.s163.t001	person.n.h.01.
d025.s163.t002	still.r.h.01.
d025.s163.t003	know.v.h.01.
d025.s163.t004	exactly.r.h.01.
d025.s163.t005	happen.v.h.01.
d083.s015.t000	at_any_rate.r.h.01.
d083.s015.t001	manchester.n.h.01.
d083.s015.t002	non.r.h.01.
d083.s015.t003	lag.v.h.01.
d083.s015.t004	far.r.h.01.
d083.s015.t005	first.a.h.01.
d083.s015.t006	commercial.a.h.01.
d083.s015.t007	system.n.h.01.
d083.s015.t008	set_up.v.h.01.
d083.s015.t009	baltimore.n.h.01.
d083.s015.t010	washington.n.h.04.
d059.s024.t000	church_of_rome.n.h.01.
d059.s024.t001	however.r.h.01.
d059.s024.t002	sanction.v.h.01.
d059.s024.t003	much.r.h.01.
d059.s024.t004	more.r.h.01.
d059.s024.t005	liberal.a.h.01.
d059.s024.t006	policy.n.h.01.
d059.s024.t007	birth_control.n.h.01.
d095.s047.t000	e.g..r.h.01.
d095.s047.t001	change.n.h.01.
d095.s047.t002	one.a.h.01.
d095.s047.t003	a_couple_of.a.h.01.
d095.s047.t004	insulin.n.h.01.
d095.s047.t005	coma.n.h.01.
d095.s047.t006	ect.n.h.01.
d095.s047.t007	antecedently.r.h.01.
d095.s047.t008	inhibited.a.h.01.
d095.s047.t009	acquired_reflex.n.h.01.
d095.s047.t010	re-emerge.v.h.01.
d078.s042.t000	remember.v.h.01.
d078.s042.t001	non.r.h.01.
d078.s042.t002	sign.v.h.01.
d078.s042.t003	check.n.h.01.
d078.s042.t004	person.n.h.01.
d078.s042.t005	make_out.v.h.01.
d078.s042.t006	same.a.h.01.
d078.s042.t007	amount.n.h.01.
d078.s042.t008	instruct.v.h.01.
d078.s042.t009	bank.n.h.02.
d078.s042.t010	destroy.v.h.01.
d078.s042.t011	especially.r.h.01.
d078.s042.t012	absently.r.h.01.
d078.s042.t013	sign.v.h.01.
d083.s060.t000	service.n.h.01.
d083.s060.t001	run.v.h.01.
d083.s060.t002	location.n.h.01.
d083.s060.t003	location.n.h.01.
d083.s060.t004	town.n.h.01.
d083.s060.t005	east.a.h.01.
d083.s060.t006	mountain.n.h.01.
d083.s060.t007	be.v.h.01.
d083.s060.t008	hands.n.h.01.
d083.s060.t009	group.n.h.01.
d083.s060.t010	major.a.h.01.
d083.s060.t011	superintendence.n.h.01.
d083.s060.t012	telephone_line.n.h.01.
d083.s060.t013	manchester.n.h.01.
d083.s060.t014	be.v.h.01.
d083.s060.t015	group.n.h.01.
d083.s060.t016	eventually.r.h.01.
d083.s060.t017	gain.v.h.01.
d083.s060.t018	control.n.h.01.
anchorage.n.01_example.1	anchorage.n.h.02.
d053.s031.t000	care.v.h.01.
d053.s031.t001	calf.n.h.01.
d053.s031.t002	pig.n.h.01.
d053.s031.t003	chicken.n.h.01.
d053.s031.t004	develop.v.h.01.
d053.s031.t005	child.n.h.01.
d053.s031.t006	sense_of_responsibility.n.h.01.
d053.s031.t007	work.n.h.01.
d087.s147.t000	man.n.h.01.
d087.s147.t001	company.n.h.01.
d087.s147.t002	non.r.h.01.
d087.s147.t003	allow.v.h.01.
d087.s147.t004	name.n.h.01.
d087.s147.t005	dishonor.v.h.01.
d178.s070.t000	speed.v.h.01.
d178.s070.t001	muscle.n.h.01.
d178.s070.t002	growth.n.h.01.
d178.s070.t003	power.n.h.01.
d178.s070.t004	development.n.h.01.
d178.s070.t005	even.r.h.01.
d178.s070.t006	advanced.a.h.01.
d178.s070.t007	bodybuilder.n.h.01.
d178.s070.t008	hip.n.h.01.
d178.s070.t009	leg.n.h.01.
d178.s070.t010	exercise.v.h.01.
d178.s070.t011	individually.r.h.01.
d178.s070.t012	thus.r.h.01.
d178.s070.t013	enable.v.h.01.
d178.s070.t014	massive.a.h.01.
d178.s070.t015	concentrated.a.h.01.
d178.s070.t016	effort.n.h.01.
d178.s070.t017	concentrate_on.v.h.01.
d159.s049.t000	many.a.h.01.
d159.s049.t001	case.n.h.01.
d159.s049.t002	statement.n.h.01.
d159.s049.t003	break_even.v.h.01.
d159.s049.t004	business_district.n.h.01.
d159.s049.t005	operation.n.h.01.
d159.s049.t006	make.v.h.01.
d159.s049.t007	money.n.h.01.
d159.s049.t008	branch.n.h.01.
d159.s049.t009	cost_analysis.n.h.01.
d159.s049.t010	recalculate.v.h.01.
d159.s049.t011	terms.n.h.01.
d159.s049.t012	less.r.h.01.
d159.s049.t013	prejudicial.a.h.01.
d159.s049.t014	old.a.h.01.
d159.s049.t015	store.n.h.01.
d035.s001.t000	purpose.n.h.01.
d035.s001.t001	paper.n.h.01.
d035.s001.t002	be.v.h.01.
d035.s001.t003	analyse.v.h.01.
d035.s001.t004	possible.a.h.01.
d035.s001.t005	force.n.h.01.
d035.s001.t006	non.r.h.01.
d035.s001.t007	treat.v.h.01.
d035.s001.t008	literature.n.h.01.
d035.s001.t009	believe.v.h.01.
d035.s001.t010	make.v.h.01.
d035.s001.t011	significant.a.h.01.
d035.s001.t012	contribution.n.h.01.
d035.s001.t013	explain.v.h.01.
d035.s001.t014	pay.n.h.01.
d035.s001.t015	price.n.h.02.
d035.s001.t016	behavior.n.h.01.
d035.s001.t017	a_couple_of.a.h.01.
d035.s001.t018	very.r.h.01.
d035.s001.t019	important.a.h.01.
d035.s001.t020	industry.n.h.01.
d070.s077.t000	first.a.h.01.
d070.s077.t001	ball.n.h.03.
d070.s077.t002	hefty.a.h.01.
d070.s077.t003	pitcher.n.h.02.
d070.s077.t004	throw.v.h.01.
d070.s077.t005	come.v.h.01.
d070.s077.t006	person.n.h.01.
d070.s077.t007	head.n.h.01.
d001.s055.t000	youngish.a.h.01.
d001.s055.t001	man.n.h.01.
d001.s055.t002	person.n.h.01.
d001.s055.t003	label.v.h.01.
d001.s055.t004	be.v.h.01.
d001.s055.t005	ready.a.h.01.
d001.s055.t006	guess.v.h.01.
d001.s055.t007	correct.a.h.01.
d001.s055.t008	non.r.h.01.
d001.s055.t009	too.r.h.01.
d001.s055.t010	fashion.n.h.01.
d001.s055.t011	junior.a.h.01.
d001.s055.t012	partner.n.h.01.
d001.s055.t013	business_firm.n.h.01.
d001.s055.t014	have.v.h.01.
d001.s055.t015	political.a.h.01.
d001.s055.t016	ambition.n.h.01.
d001.s055.t017	person.n.h.01.
d001.s055.t018	be.v.h.01.
d001.s055.t019	impeccably.r.h.01.
d001.s055.t020	married_woman.n.h.01.
d001.s055.t021	rising.a.h.01.
d001.s055.t022	young.a.h.01.
d001.s055.t023	attorney.n.h.01.
d001.s055.t024	be.v.h.01.
d001.s055.t025	3.a.h.01.
d001.s055.t026	child.n.h.01.
d001.s055.t027	2.a.h.01.
d001.s055.t028	boy.n.h.01.
d001.s055.t029	girl.n.h.01.
d001.s055.t030	be.v.h.01.
d001.s055.t031	active.a.h.01.
d001.s055.t032	rotary_club.n.h.01.
d001.s055.t033	finally.r.h.01.
d001.s055.t034	harbor.v.h.01.
d001.s055.t035	unorthodox.a.h.01.
d001.s055.t036	opinion.n.h.01.
d001.s055.t037	wedding_day.n.h.01.
d166.s023.t000	source.n.h.01.
d166.s023.t001	group.n.h.01.
d166.s023.t002	pride.n.h.01.
d166.s023.t003	be.v.h.01.
d166.s023.t004	rare.a.h.01.
d166.s023.t005	film_clip.n.h.01.
d166.s023.t006	person.n.h.01.
d166.s023.t007	view.n.h.01.
d166.s023.t008	great.a.h.01.
d166.s023.t009	trumpeter.n.h.01.
d166.s023.t010	fly_by.v.h.01.
d166.s023.t011	so.r.h.01.
d166.s023.t012	fast.r.h.01.
d166.s023.t013	prolonged.a.h.01.
d166.s023.t014	wink.n.h.01.
d166.s023.t015	blot_out.v.h.01.
d166.s023.t016	entire.a.h.01.
d166.s023.t017	glimpse.n.h.01.
d101.s067.t000	lady.n.h.01.
d101.s067.t001	be.v.h.01.
d101.s067.t002	full.a.h.01.
d101.s067.t003	charm.n.h.01.
d101.s067.t004	sincerity.n.h.01.
d101.s067.t005	deep.a.h.01.
d101.s067.t006	abiding.a.h.01.
d101.s067.t007	affection.n.h.01.
d101.s067.t008	hurrying.a.h.01.
d101.s067.t009	driving.a.h.01.
d101.s067.t010	honest.a.h.01.
d101.s067.t011	little.a.h.01.
d101.s067.t012	man.n.h.01.
school.n.07_example.0	school.n.h.02.
d298.s086.t000	put.v.h.01.
d298.s086.t001	cut_off.v.h.01.
d298.s086.t002	file.v.h.03.
maroon.n.01_example.0	maroon.n.h.01.
d276.s149.t000	lie.v.h.01.
d089.s059.t000	music.n.h.01.
d089.s059.t001	often.r.h.01.
d089.s059.t002	sound.v.h.01.
d089.s059.t003	best.r.h.01.
d089.s059.t004	dress.v.h.01.
d089.s059.t005	informally.r.h.01.
d089.s059.t006	sit.v.h.01.
d089.s059.t007	more.r.h.01.
d089.s059.t008	comfortable.a.h.01.
d089.s059.t009	theater.n.h.01.
d089.s059.t010	seat.n.h.01.
dunkirk.n.01_example.0	dunkirk.n.h.01.
d069.s088.t000	as.r.h.01.
d069.s088.t001	far.r.h.01.
d069.s088.t002	down.r.h.01.
d069.s088.t003	mile.n.h.01.
d069.s088.t004	surface.n.h.01.
d069.s088.t005	material.n.h.01.
d069.s088.t006	be.v.h.01.
d069.s088.t007	hot.a.h.01.
d069.s088.t008	enough.r.h.01.
d069.s088.t009	be.v.h.01.
d069.s088.t010	plastic.a.h.01.
d069.s088.t011	adjust.v.h.01.
d069.s088.t012	force.n.h.01.
d069.s088.t013	sluggish.a.h.01.
d069.s088.t014	flow.n.h.01.
d069.s088.t015	rather.r.h.01.
d069.s088.t016	break.v.h.01.
d069.s088.t017	rigid.a.h.01.
d069.s088.t018	surface.a.h.01.
d069.s088.t019	rock.n.h.01.
limber.v.01_example.0	limber.v.h.01.
d125.s068.t000	group.n.h.01.
d125.s068.t001	play.v.h.01.
d125.s068.t002	group.n.h.01.
d125.s068.t003	location.n.h.01.
d125.s068.t004	houston.n.h.01.
d125.s068.t005	night_game.n.h.01.
d125.s068.t006	sabbatum.n.h.01.
d125.s068.t007	oct.n.h.01.
price.n.05_example.0	price.n.h.02.
d135.s057.t000	person.n.h.01.
d135.s057.t001	alternately.r.h.01.
d135.s057.t002	describe.v.h.01.
d135.s057.t003	symbol.n.h.01.
d135.s057.t004	new.a.h.01.
d135.s057.t005	grandeur.n.h.01.
d135.s057.t006	france.n.h.01.
d135.s057.t007	person.n.h.01.
d135.s057.t008	decadent.a.h.01.
d135.s057.t009	disgustful.a.h.01.
d135.s057.t010	slob.n.h.01.
d126.s044.t000	person.n.h.01.
d126.s044.t001	person.n.h.01.
d126.s044.t002	greenhorn.n.h.01.
d126.s044.t003	right-hander.n.h.01.
d126.s044.t004	post.v.h.02.
d126.s044.t005	record.n.h.07.
d126.s044.t006	last.a.h.01.
d126.s044.t007	year.n.h.01.
d126.s044.t008	location.n.h.01.
d126.s044.t009	location.n.h.01.
d126.s044.t010	farm_club.n.h.01.
d126.s044.t011	class.n.h.01.
d126.s044.t012	group.n.h.01.
d126.s044.t013	be.v.h.01.
d126.s044.t014	probable.a.h.01.
d126.s044.t015	pitcher.n.h.02.
d126.s045.t000	twenty-one.n.h.01.
d126.s045.t001	year.n.h.01.
d126.s045.t002	old.a.h.01.
d126.s045.t003	person.n.h.01.
d126.s045.t004	person.n.h.01.
d126.s045.t005	schedule.v.h.01.
d126.s045.t006	share.v.h.01.
d126.s045.t007	group.n.h.01.
d126.s045.t008	mound.n.h.01.
d126.s045.t009	chore.n.h.01.
d126.s045.t010	person.n.h.01.
d126.s045.t011	dominicus.n.h.01.
d126.s045.t012	2.a.h.01.
d126.s045.t013	encounter.n.h.01.
d056.s076.t000	treat.v.h.01.
d056.s076.t001	lamb.n.h.02.
d056.s076.t002	12.a.h.01.
d056.s076.t003	g.n.h.08.
d056.s076.t004	head.n.h.01.
d056.s076.t005	lamb.n.h.02.
d056.s076.t006	weigh.v.h.01.
d056.s076.t007	50.a.h.01.
d056.s076.t008	pound.n.h.02.
d056.s076.t009	treat.v.h.01.
d056.s076.t010	lamb.n.h.02.
d056.s076.t011	50.a.h.01.
d056.s076.t012	pound.n.h.02.
d056.s076.t013	adult.n.h.01.
d056.s076.t014	24.a.h.01.
d056.s076.t015	g.n.h.08.
d056.s076.t016	animal.n.h.01.
d160.s078.t000	crude.a.h.01.
d160.s078.t001	picture.n.h.01.
d160.s078.t002	detergency.n.h.01.
d160.s078.t003	process.n.h.01.
d160.s078.t004	as_yet.r.h.01.
d160.s078.t005	develop.v.h.01.
d160.s078.t006	represent.v.h.01.
d160.s078.t007	influence.n.h.01.
d160.s078.t008	mechanical.a.h.01.
d160.s078.t009	action.n.h.01.
d160.s078.t010	particle.n.h.01.
d160.s078.t011	free.a.h.01.
d160.s078.t012	soil.n.h.01.
d160.s078.t013	compare.v.h.01.
d160.s078.t014	k.e..n.h.01.
d160.s078.t015	molecular.a.h.01.
d160.s078.t016	scale.n.h.03.
dock.v.05_example.0	dock.v.h.01.
d253.s010.t000	be.v.h.01.
d253.s010.t001	pack.v.h.01.
d253.s010.t002	be.v.h.01.
d063.s027.t000	program.n.h.01.
d063.s027.t001	now.r.h.01.
d063.s027.t002	nationally.r.h.01.
d063.s027.t003	teen.a.h.01.
d063.s027.t004	hunter.n.h.02.
d063.s027.t005	club.n.h.01.
d159.s060.t000	today.r.h.01.
d159.s060.t001	land.n.h.02.
d159.s060.t002	economic_expert.n.h.01.
d159.s060.t003	person.n.h.01.
d159.s060.t004	shopping_center.n.h.01.
d159.s060.t005	car_park.n.h.01.
d159.s060.t006	cover.v.h.01.
d159.s060.t007	acre.n.h.02.
d159.s060.t008	land.n.h.02.
d159.s060.t009	be.v.h.01.
d159.s060.t010	almost.r.h.01.
d159.s060.t011	exactly.r.h.01.
d159.s060.t012	total.a.h.01.
d159.s060.t013	acreage.n.h.01.
d159.s060.t014	all.a.h.01.
d159.s060.t015	business_district.n.h.01.
d159.s060.t016	put.v.h.01.
d086.s033.t000	rather.r.h.01.
d086.s033.t001	tortuous.a.h.01.
d086.s033.t002	history.n.h.01.
d086.s033.t003	electoral.a.h.01.
d086.s033.t004	planning.n.h.01.
d086.s033.t005	al-magrib.n.h.01.
d086.s033.t006	important.a.h.01.
d086.s033.t007	point.n.h.01.
d086.s033.t008	emerge.v.h.01.
d086.s033.t009	concern.v.h.01.
d086.s033.t010	first.a.h.01.
d086.s033.t011	election.n.h.01.
d086.s033.t012	developing.a.h.01.
d086.s033.t013	country.n.h.01.
d086.s033.t014	evaluate.v.h.01.
d086.s033.t015	result.n.h.01.
choice.n.01_example.0	pick.n.h.01.
d216.s092.t000	stay.v.h.01.
d216.s092.t001	rub.v.h.01.
d216.s092.t002	fuss.v.h.01.
d216.s092.t003	track.v.h.01.
d216.s092.t004	come.v.h.01.
senseval2.d001.s022.t001	use.v.h.01.
senseval2.d001.s022.t002	new.a.h.01.
senseval2.d001.s022.t003	genetic.a.h.01.
senseval2.d001.s022.t004	show.v.h.01.
senseval2.d001.s022.t005	little.a.h.01.
senseval2.d001.s022.t006	inherit.v.h.01.
senseval2.d001.s022.t007	damaged.a.h.01.
senseval2.d001.s022.t011	face.v.h.01.
senseval2.d001.s022.t012	more.a.h.01.
senseval2.d001.s022.t013	risk.n.h.01.
senseval2.d001.s022.t014	other.a.h.01.
senseval2.d001.s022.t015	child.n.h.01.
senseval2.d001.s022.t016	develop.v.h.01.
senseval2.d001.s022.t018	cancer.n.h.02.
d053.s024.t000	farm.n.h.01.
d053.s024.t001	be.v.h.01.
d053.s024.t002	burden.n.h.01.
d053.s024.t003	main.a.h.01.
d053.s024.t004	job.n.h.02.
d053.s024.t005	lose.v.h.01.
d062.s069.t000	study.v.h.01.
d062.s069.t001	person.n.h.01.
d062.s069.t002	10.a.h.01.
d062.s069.t003	year.n.h.01.
d062.s069.t004	before.r.h.01.
d062.s069.t005	scholarship.n.h.01.
d062.s069.t006	year.n.h.01.
d062.s069.t007	location.n.h.01.
d062.s069.t008	give.v.h.01.
d062.s069.t009	500.a.h.01.
d062.s069.t010	dollar.n.h.01.
d062.s069.t011	prize.n.h.01.
d062.s069.t012	painting.n.h.01.
d062.s069.t013	bum.n.h.02.
d062.s069.t014	location.n.h.01.
school.n.05_example.2	school.n.h.01.
d132.s040.t000	interpret.v.h.01.
d132.s040.t001	primitive.a.h.01.
d132.s040.t002	state.n.h.02.
d132.s040.t003	mere.a.h.01.
d132.s040.t004	potentiality.n.h.01.
d132.s040.t005	capacity.n.h.01.
d132.s040.t006	believe.v.h.01.
d132.s040.t007	adam.n.h.01.
d132.s040.t008	eve.n.h.01.
d132.s040.t009	create.v.h.01.
d132.s040.t010	child.n.h.01.
d132.s040.t011	person.n.h.01.
d132.s040.t012	often.r.h.01.
d132.s040.t013	seem.v.h.01.
d132.s040.t014	inclined.a.h.01.
d132.s040.t015	extenuate.v.h.01.
d132.s040.t016	disobedience.n.h.01.
d132.s040.t017	be.v.h.01.
d132.s040.t018	no_doubt.r.h.01.
d132.s040.t019	carelessness.n.h.01.
d132.s040.t020	still.r.h.01.
d132.s040.t021	wicked.a.h.01.
d109.s079.t000	additionally.r.h.01.
d109.s079.t001	be.v.h.01.
d109.s079.t002	jolly.r.h.01.
d109.s079.t003	before_long.r.h.01.
d109.s079.t004	sprue.n.h.02.
d109.s079.t005	frambesia.n.h.01.
d109.s079.t006	aleppo_boil.n.h.01.
d109.s079.t007	granville_wilt.n.h.01.
d109.s079.t008	fasciola_hepatica.n.h.01.
d109.s079.t009	bilharzia.n.h.01.
d109.s079.t010	host.n.h.01.
d109.s079.t011	other.a.h.01.
d109.s079.t012	complication.n.h.01.
d109.s079.t013	hex.n.h.01.
d109.s079.t014	arouse.v.h.01.
d109.s079.t015	expect.v.h.01.
d109.s079.t016	lionise.v.h.01.
d109.s079.t017	socially.r.h.01.
d019.s156.t000	job.n.h.02.
d019.s156.t001	lose.v.h.01.
d019.s156.t002	new.a.h.01.
d019.s156.t003	face.n.h.01.
d019.s156.t004	become.v.h.01.
d019.s156.t005	prominent.a.h.01.
d002.s011.t000	research_worker.n.h.01.
d002.s011.t001	dig_into.v.h.01.
d002.s011.t002	ancient.a.h.01.
d002.s011.t003	court.n.h.01.
d002.s011.t004	record.n.h.01.
d002.s011.t005	legal.a.h.01.
d002.s011.t006	file.n.h.01.
d002.s011.t007	be.v.h.01.
d002.s011.t008	able.a.h.01.
d002.s011.t009	find.v.h.01.
d002.s011.t010	illuminating.a.h.01.
d002.s011.t011	piece.n.h.01.
d002.s011.t012	information.n.h.01.
d157.s004.t000	group.n.h.01.
d157.s004.t001	continue.v.h.01.
d157.s004.t002	accuse.v.h.01.
d157.s004.t003	republican.n.h.01.
d157.s004.t004	group.n.h.01.
d157.s004.t005	continue.v.h.01.
d157.s004.t006	accuse.v.h.01.
d157.s004.t007	democrat.n.h.01.
d157.s004.t008	group.n.h.01.
d157.s004.t009	complain.v.h.01.
d157.s004.t010	virginia.n.h.01.
d157.s004.t011	authority.n.h.01.
d157.s004.t012	show.v.h.01.
d157.s004.t013	indecent.a.h.01.
d157.s004.t014	cowardly.a.h.01.
d157.s004.t015	haste.n.h.01.
d157.s004.t016	condemn.v.h.01.
d157.s004.t017	person.n.h.01.
d157.s004.t018	manpower.n.h.01.
d103.s144.t000	raise.v.h.01.
d103.s144.t001	voice.n.h.01.
d103.s144.t002	camp.n.h.01.
d024.s009.t000	acquire.v.h.01.
d024.s009.t001	service.n.h.01.
d024.s009.t002	chemist.n.h.01.
d024.s009.t003	physicist.n.h.01.
d024.s009.t004	engineer.n.h.01.
d024.s009.t005	other.a.h.01.
d024.s009.t006	personnel.n.h.01.
d024.s009.t007	contract.n.h.01.
d024.s009.t008	otherwise.r.h.01.
rectify.v.04_example.2	repair.v.h.01.
d062.s002.t000	person.n.h.01.
d062.s002.t001	do.v.h.01.
d062.s002.t002	howling.a.h.01.
d062.s002.t003	complicated.a.h.01.
d062.s002.t004	pen-and-ink.n.h.01.
d062.s002.t005	drawing.n.h.01.
d062.s002.t006	medieval.a.h.01.
d062.s002.t007	miniature.n.h.01.
d062.s002.t008	100.n.h.01.
d062.s002.t009	delicate.a.h.01.
d062.s002.t010	detail.n.h.01.
d062.s002.t011	cram.v.h.01.
d062.s002.t012	8.a.h.01.
d062.s002.t013	10.a.h.01.
d062.s002.t014	sheet.n.h.01.
d062.s002.t015	look.v.h.01.
d062.s002.t016	be.v.h.01.
d062.s002.t017	jeweler's_glass.n.h.01.
d125.s065.t000	game.n.h.01.
d125.s065.t001	player.n.h.02.
d125.s065.t002	see.v.h.01.
d125.s065.t003	group.n.h.01.
d125.s065.t004	film.n.h.01.
d125.s065.t005	monday.n.h.01.
d125.s065.t006	run.v.h.01.
d125.s065.t007	30_minutes.n.h.01.
d125.s065.t008	then.r.h.01.
d125.s065.t009	go.v.h.01.
d125.s065.t010	reserve.n.h.01.
d125.s065.t011	scrimmage.v.h.01.
d125.s065.t012	minute.n.h.01.
d068.s036.t000	no.n.h.02.
d068.s036.t001	person.n.h.01.
d068.s036.t002	say.v.h.01.
gag.v.04_example.0	gag.v.h.01.
d042.s039.t000	be.v.h.01.
d042.s039.t001	at_least.r.h.01.
d042.s039.t002	conscious.a.h.01.
d042.s039.t003	distinction.n.h.01.
d042.s039.t004	full.a.h.01.
d042.s039.t005	yokuts.n.h.01.
d042.s039.t006	presentation.n.h.01.
d042.s039.t007	await.v.h.01.
d042.s039.t008	publication.n.h.01.
d042.s039.t009	list.v.h.01.
d042.s039.t010	set_off.v.h.01.
d042.s039.t011	asterisk.n.h.01.
d042.s039.t012	form.n.h.01.
d042.s039.t013	stem.n.h.01.
d042.s039.t014	be.v.h.01.
d042.s039.t015	stem.n.h.01.
